marka,ban növü,rəng,mühərrik,sürətlər qutusu,yeni,vəziyyəti,yürüş,yaş,qiymət
37,9,7,0,0,1,3,33597.0,13.0,98600
8,5,2,4,0,0,2,0.0,1.0,40630
42,11,7,1,0,1,3,299000.0,14.0,27400
46,11,2,1,0,1,3,321000.0,15.0,16800
54,9,7,3,0,0,3,0.0,1.0,106250
44,9,7,0,0,1,3,197000.0,17.0,21500
41,9,3,0,0,1,2,147000.0,5.0,54400
33,9,0,1,0,1,3,195000.0,10.0,27500
5,9,7,2,0,0,3,0.0,1.0,62560
26,11,13,0,0,1,3,52700.0,6.0,25400
33,9,2,1,0,1,3,133000.0,9.0,46000
3,9,7,0,0,1,3,27000.0,3.0,201450
3,11,7,0,0,1,0,117000.0,7.0,67150
33,9,2,0,0,1,3,8000.0,1.0,46500
42,11,7,0,0,1,3,124500.0,7.0,122230
26,11,13,0,0,1,3,90000.0,9.0,22000
37,9,7,0,0,0,3,0.0,1.0,124950
57,11,0,0,0,1,2,237540.0,10.0,23000
33,9,7,1,0,1,3,156500.0,9.0,36300
3,11,7,0,0,1,3,198000.0,18.0,16600
26,9,0,1,0,1,3,111521.0,4.0,68850
25,11,7,3,0,1,3,12000.0,2.0,32640
29,4,7,0,0,1,3,8600.0,12.0,117300
26,11,4,0,0,1,3,161262.0,11.0,19800
27,9,7,0,0,1,3,22250.0,5.0,81600
54,9,4,0,1,1,3,300000.0,25.0,14900
26,11,0,0,0,1,3,89000.0,9.0,18900
37,11,0,0,0,1,3,190000.0,11.0,32300
27,11,2,0,0,1,3,94776.0,6.0,39500
42,11,4,1,0,1,3,139200.0,9.0,41600
42,9,7,1,0,1,2,203000.0,9.0,45050
34,11,0,0,1,1,3,29746.0,18.0,4700
26,9,0,1,0,1,3,108000.0,16.0,21500
34,9,3,0,1,1,3,185000.0,9.0,8600
3,11,7,0,0,1,3,37000.0,12.0,281444
33,11,13,0,0,1,3,99646.0,10.0,25800
26,11,8,0,0,1,2,194000.0,11.0,20500
54,11,7,3,0,0,3,0.0,1.0,89344
42,11,7,1,0,1,3,115000.0,8.0,50830
47,11,13,2,0,1,3,17000.0,4.0,247350
37,9,7,0,0,1,3,33597.0,13.0,98600
8,5,2,4,0,0,3,0.0,1.0,40630
42,11,7,1,0,1,0,299000.0,14.0,27400
54,9,7,3,0,0,3,0.0,1.0,110160
47,9,7,0,0,1,3,205000.0,11.0,54400
35,9,7,0,0,1,2,102695.0,10.0,98430
3,9,7,0,0,1,3,189000.0,12.0,62900
25,11,3,3,0,1,3,36000.0,2.0,37230
26,9,4,1,0,1,3,198000.0,16.0,19900
25,11,2,3,0,1,3,22500.0,3.0,31960
42,9,7,0,0,0,3,0.0,1.0,518500
33,2,7,1,0,1,3,105000.0,4.0,32500
54,9,2,3,0,0,3,0.0,2.0,86360
3,9,3,0,0,1,3,96000.0,7.0,93330
54,11,0,0,0,1,3,187000.0,13.0,24000
45,2,7,0,0,1,3,32562.0,9.0,14700
10,11,0,5,1,1,3,11450.0,1.0,20000
26,9,4,1,0,1,2,148888.0,13.0,28400
26,11,0,0,0,1,3,280000.0,13.0,21700
26,11,7,0,0,1,3,223055.0,10.0,23000
33,11,0,0,0,1,3,157484.0,9.0,26300
29,4,7,0,0,1,3,8600.0,12.0,117300
26,11,4,0,0,1,3,161262.0,11.0,19800
27,9,7,0,0,1,3,22250.0,5.0,81600
54,9,4,0,1,1,3,300000.0,25.0,14900
26,11,0,0,0,1,3,89000.0,9.0,18900
37,11,0,0,0,1,3,190000.0,11.0,32300
27,11,2,0,0,1,3,94776.0,6.0,39500
42,11,4,1,0,1,3,139200.0,9.0,41600
42,9,7,1,0,1,3,203000.0,9.0,45050
34,11,0,0,1,1,3,29746.0,18.0,4700
26,9,0,1,0,1,3,108000.0,16.0,21500
34,9,3,0,1,1,3,185000.0,9.0,8600
3,11,7,0,0,1,3,37000.0,12.0,281444
33,11,13,0,0,1,3,99646.0,10.0,25800
26,11,8,0,0,1,3,194000.0,11.0,20500
54,11,7,3,0,0,3,0.0,1.0,89344
24,5,3,2,0,0,2,0.0,1.0,176800
37,9,3,0,0,1,3,63813.0,5.0,57460
28,13,0,1,1,0,3,0.0,2.0,60500
43,11,7,0,0,0,3,0.0,1.0,494741
42,12,4,1,0,1,3,262000.0,18.0,23500
37,9,7,0,0,1,3,161900.0,16.0,47600
54,2,2,1,1,1,3,230000.0,18.0,14000
33,9,0,1,0,1,3,80000.0,3.0,66500
33,9,10,1,0,1,3,193271.0,12.0,28000
54,9,0,0,0,1,3,135000.0,11.0,70550
30,9,7,0,0,1,3,243309.0,12.0,36500
18,1,4,1,1,1,3,176500.0,16.0,17700
30,9,6,0,0,1,2,163000.0,11.0,40970
26,12,7,0,1,1,3,242000.0,15.0,14000
18,9,2,3,0,1,3,4200.0,3.0,44030
18,11,13,4,0,1,3,311500.0,8.0,24900
3,9,7,4,0,0,3,0.0,1.0,226100
45,2,7,0,0,1,3,32562.0,9.0,14700
